položaj,ime,celina,država,ocena,višinska_razlika,proge,modre,rdeče,črne,žičnice
37,Galibier Thabor – Valmeinier/Valloire,Europe,France,3.9,1320.0,160.0,60.0,85.0,15.0,30
38,Madonna di Campiglio/Pinzolo/Folgàrida/Marilleva,Europe,Italy,4.7,1652.0,155.0,50.0,72.0,33.0,58
38,St. Moritz – Corviglia,Europe,Switzerland,4.7,1285.0,155.0,42.0,79.0,34.0,23
40,Breckenridge,North America,USA,4.3,988.0,153.0,28.0,60.0,65.0,35
41,Zillertal Arena – Zell am Ziller/Gerlos/Königsleiten/Hochkrimml,Europe,Austria,4.7,1920.0,150.1,50.0,88.1,12.0,52
42,Beaver Creek,North America,USA,4.5,1233.0,150.0,28.5,64.5,57.0,25
43,Sölden,Europe,Austria,4.7,1990.0,146.5,69.8,44.8,31.9,31
44,La Molina/Masella – Alp2500,Europe,Spain,4.3,921.0,145.0,80.0,47.0,18.0,33
45,Espace San Bernardo – La Rosière/La Thuile,Europe,France,3.9,1610.0,144.1,57.0,70.5,16.6,38
46,Winter Park Resort,North America,USA,4.2,933.0,143.0,11.0,53.0,79.0,25
46,Formigal,Europe,Spain,4.0,764.0,143.0,48.0,75.0,20.0,21
48,Mayrhofen – Penken/Ahorn/Rastkogel/Eggalm,Europe,Austria,4.7,1870.0,142.0,44.0,66.0,32.0,58
48,Fernie,North America,Canada,4.1,1082.0,142.0,42.0,58.0,42.0,10
50,Silvretta Montafon,Europe,Austria,4.6,1730.0,140.3,60.0,50.0,30.3,36
51,Crans-Montana,Europe,Switzerland,3.7,1417.0,140.0,55.0,70.0,15.0,19
52,Lake Louise,North America,Canada,4.3,991.0,139.0,35.0,62.0,42.0,12
53,Sun Peaks,North America,Canada,4.3,884.0,135.0,13.5,78.0,43.5,13
53,Keystone,North America,USA,4.3,908.0,135.0,25.0,65.0,45.0,21
53,Aspen Highlands,North America,USA,3.9,1108.0,135.0,24.3,40.5,70.2,5
53,Auron (Saint-Etienne-de-Tinée),Europe,France,3.6,850.0,135.0,58.0,45.0,32.0,16
57,Alagna Valsesia/Gressoney-La-Trinité/Champoluc/Frachey (Monterosa Ski),Europe,Italy,4.0,2063.0,132.0,29.0,89.0,14.0,20
58,Alta Badia,Europe,Italy,4.3,1454.0,130.0,74.0,47.0,9.0,53
59,Copper Mountain,North America,USA,3.8,832.0,126.0,30.0,40.0,56.0,24
60,Val Cenis – Lanslevillard/Lanslebourg/Termignon,Europe,France,3.9,1500.0,125.0,73.0,42.0,10.0,29
60,Espace Villard Corrençon – Villard-de-Lans/Corrençon-en-Vercors,Europe,France,3.8,1000.0,125.0,50.0,50.0,25.0,19
60,La Clusaz/Manigod,Europe,France,3.8,1435.0,125.0,67.0,42.0,16.0,49
63,Schladming – Planai/Hochwurzen/Hauser Kaibling/Reiteralm (4-Berge-Skischaukel),Europe,Austria,4.7,1287.0,123.0,46.4,68.3,8.3,47
64,Kronplatz (Plan de Corones),Europe,Italy,4.5,1302.0,121.0,58.0,34.0,29.0,31
64,Crested Butte,North America,USA,3.7,846.0,121.0,31.4,69.0,20.6,12
66,Snow Space Salzburg – Flachau/Wagrain/St. Johann-Alpendorf,Europe,Austria,4.5,1240.0,120.1,34.0,82.1,4.0,45
67,Hochkönig – Maria Alm/Dienten/Mühlbach,Europe,Austria,4.5,1100.0,120.0,52.0,41.0,27.0,34
67,Obersaxen/Mundaun/Val Lumnezia,Europe,Switzerland,4.2,1109.0,120.0,60.0,40.0,20.0,15
67,Red Mountain Resort – Rossland,North America,Canada,4.1,890.0,120.0,20.0,40.0,60.0,8
67,Cortina d'Ampezzo,Europe,Italy,4.1,1611.0,120.0,45.0,59.0,16.0,26
67,Corvatsch/Furtschellas,Europe,Switzerland,4.1,1506.0,120.0,13.0,89.3,17.7,14
67,Les Contamines/Hauteluce,Europe,France,3.8,1273.0,120.0,40.0,60.0,20.0,24
67,Les 7 Laux – Prapoutel/Le Pleynet/Pipay,Europe,France,3.8,1050.0,120.0,46.0,36.0,38.0,22
67,Catedral Alta Patagonia,South America,Argentina,3.8,1150.0,120.0,30.0,60.0,30.0,29
67,Isola 2000,Europe,France,3.7,803.0,120.0,75.0,35.0,10.0,20
76,Killington,North America,USA,4.2,938.0,118.4,20.0,47.4,51.0,22
77,Deer Valley,North America,USA,4.4,933.0,118.0,36.0,49.0,33.0,28
78,Jackson Hole,North America,USA,3.8,1261.0,116.0,16.0,50.0,50.0,13
79,SilverStar,North America,Canada,4.3,760.0,115.0,20.0,45.0,50.0,10
79,Livigno,Europe,Italy,4.3,982.0,115.0,30.0,65.0,20.0,33
79,Grimentz/Zinal,Europe,Switzerland,4.2,1330.0,115.0,26.5,58.6,29.9,21
82,Taos,North America,USA,3.6,990.0,113.0,27.0,28.0,58.0,14
83,Sierra Nevada – Pradollano,Europe,Spain,4.1,1200.0,112.5,51.5,53.0,8.0,23
